# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
5362;"Rhein-Erft-Kreis";5;345437;342628;180617;149990;2557;1830;178060;148160;65955;56565;61244;37597;16272;17046;7708;21145;6176;5871;;;1075;456;431;1325;2254;1565;749;946;2280;977;323;258;95;132;512;374;63;69;68;155;146;108;41;75;29;36;18;38;9048;;2010;;50;;738;;775;;;3422;
5366;"Euskirchen";5;148868;149025;78817;62900;1278;940;77539;61960;32654;26739;21854;11644;6033;5897;4419;10330;3092;2382;;;402;602;211;540;1106;720;490;534;966;394;161;96;135;96;251;183;33;29;48;108;160;72;28;36;12;6;19;11;4409;;352;;17;;419;;268;;;1541;
5370;"Heinsberg";5;189213;187763;102648;76711;2100;1307;100548;75404;45945;35997;30191;16049;6795;5779;3311;9627;3352;2861;;;845;204;280;756;1329;893;496;546;1188;479;128;69;52;90;218;184;45;48;52;95;86;52;21;27;29;29;16;19;4404;;333;;29;;942;;461;;;1600;
5374;"Oberbergischer Kreis";5;209600;212490;113900;88051;1703;981;112197;87070;45524;36307;34291;19393;8975;9145;4913;12651;4775;3387;;;379;256;237;673;1263;785;581;603;1235;559;303;188;456;520;344;199;47;65;155;213;236;173;32;63;23;14;27;20;6387;;934;;48;;578;;454;;;1856;
5378;"Rheinisch-Bergischer Kreis";5;217229;215530;125455;105438;1233;808;124222;104630;47728;41606;35903;20743;13937;14710;7045;17128;4753;3565;;;670;560;240;696;1431;1022;527;597;1494;723;294;196;204;264;318;246;46;54;66;132;130;107;29;56;32;28;14;23;7633;;828;;38;;379;;483;;;2174;
5382;"Rhein-Sieg-Kreis";5;449917;443669;262151;204185;3395;1925;258756;202260;100071;83265;77449;39887;26425;26593;13195;32654;10402;6788;;;1001;959;325;1278;3061;1952;1018;979;3510;1486;581;302;379;429;1570;970;109;119;129;232;303;209;47;76;53;30;43;40;15145;;1267;;64;;1370;;1239;;;4012;
5512;"Bottrop, Stadt";5;89473;90966;44529;36913;590;434;43939;36479;12793;11749;19250;13211;2799;3080;1076;3188;2110;1944;;;84;71;161;474;503;474;171;270;530;311;528;349;25;34;78;92;7;16;13;32;33;30;456;249;7;10;5;15;2472;;301;;33;;278;;226;;;880;
5513;"Gelsenkirchen, Stadt";5;180811;187853;81747;64130;1420;893;80327;63237;18976;17939;37065;24101;4866;5750;1771;4894;4202;4454;;;160;101;517;1621;1047;742;340;469;1095;620;130;76;63;169;227;174;29;43;49;105;272;104;78;95;28;20;12;16;6131;;1710;;302;;871;;386;;;1744;
5515;"Münster, Stadt";5;230294;210868;142460;107108;1174;724;141286;106384;46552;38536;40471;22572;26201;22483;6799;12969;7738;4258;;;252;256;112;395;1134;705;378;363;2529;1175;974;445;74;90;195;148;20;49;69;104;107;86;76;114;32;22;25;24;5819;;157;;48;;313;;1211;;;1590;
5554;"Borken";5;276875;273787;155070;125560;1902;970;153168;124590;80204;66734;40490;23496;11817;10392;5498;14899;3654;3130;;;373;212;245;604;1064;724;626;831;1638;760;216;145;91;142;257;143;34;44;84;153;120;118;52;68;20;27;20;21;5204;;375;;17;;587;;482;;;1947;
