# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
10 0 45; Saarpfalz-Kreis;121620;72964;2651;70313;27104;31946;4073;0;697;1697;1257;243;176;370;84;0;70;97;252;109;5;1331;90;5;197;24;486
10 0 46; Sankt Wendel;76097;56409;2156;54253;21768;27017;1933;0;321;636;806;116;99;316;53;0;36;70;104;67;3;351;66;6;123;16;346
910; Saarland;825048;499241;16971;482270;199266;216489;24269;0;4836;10125;8224;1677;1127;2848;554;0;332;614;1501;918;49;4117;588;88;1288;149;3211

11 0 00; Berlin, Stadt;2431784;970274;10118;960156;256056;335948;119965;0;160580;23184;18311;9275;2151;4015;4122;0;1330;1979;6999;797;348;0;1055;174;3827;758;9282
911; Berlin;2431784;970274;10118;960156;256056;335948;119965;0;160580;23184;18311;9275;2151;4015;4122;0;1330;1979;6999;797;348;0;1055;174;3827;758;9282

12 0 51; Brandenburg an der Havel, Stadt;65071;14659;213;14446;5153;3443;446;0;3867;508;198;117;30;89;153;0;30;34;74;22;9;0;23;10;83;12;145
12 0 52; Cottbus, Stadt;89250;24192;315;23877;7195;5977;813;0;7811;526;260;149;36;144;234;0;39;44;190;45;11;0;30;9;138;28;198
12 0 53; Frankfurt (Oder), Stadt;58948;16911;221;16690;4712;4250;570;0;5597;286;149;100;35;129;158;0;39;31;324;24;5;0;29;3;106;5;138
12 0 54; Potsdam, Stadt;102439;34103;344;33759;9904;6157;2289;0;12516;692;333;218;93;180;275;0;86;79;325;53;29;0;50;9;151;34;286
12 0 60; Barnim;131515;36944;480;36464;10672;9670;1335;0;11394;668;550;183;90;296;334;0;62;92;387;71;24;0;79;11;162;43;341
12 0 61; Dahme-Spreewald;124087;42289;826;41463;13273;12448;1317;0;10275;871;724;235;155;355;358;0;49;75;483;71;26;0;100;15;195;38;400
12 0 62; Elbe-Elster;107345;33589;704;32885;9611;12370;692;0;6368;846;676;150;74;304;479;0;81;88;333;109;32;0;63;18;197;31;363
12 0 63; Havelland;111954;30928;487;30441;10301;9520;1316;0;6292;754;561;192;53;219;264;0;44;54;268;48;10;0;64;14;135;24;308
12 0 64; Märkisch-Oderland;144594;43662;630;43032;12417;11813;1172;0;13233;905;704;246;97;352;461;0;83;106;568;94;38;0;98;16;190;44;395
12 0 65; Oberhavel;148603;45082;686;44396;14639;12503;1800;0;10844;884;927;251;79;334;432;0;109;90;580;104;15;0;82;16;220;36;451
12 0 66; Oberspreewald-Lausitz;119555;35489;692;34797;10821;11828;663;0;7969;708;637;164;61;296;464;0;67;67;344;95;20;0;71;18;175;27;302
12 0 67; Oder-Spree;154665;46027;718;45309;13920;12756;1301;0;12346;937;770;297;76;391;481;0;43;121;833;77;38;0;136;16;267;47;456
12 0 68; Ostprignitz-Ruppin;89632;25700;412;25288;8516;8351;764;0;5101;550;268;125;38;197;243;0;68;55;519;67;16;0;66;4;101;21;218
12 0 69; Potsdam-Mittelmark;158035;51051;689;50362;16660;14963;2517;0;11169;1449;620;247;128;341;418;0;109;111;505;82;26;0;111;20;278;50;558
12 0 70; Prignitz;78303;24380;352;24028;8012;8083;465;0;5549;475;275;58;38;128;181;0;54;54;323;51;8;0;33;6;80;10;145
12 0 71; Spree-Neiße;122912;35057;699;34358;9877;11088;748;0;8106;876;1058;293;84;307;539;0;60;98;387;124;41;0;66;16;199;28;363
12 0 72; Teltow-Fläming;123995;38113;1139;36974;12336;10881;1161;0;8542;911;601;228;70;356;437;0;98;108;347;117;27;0;98;20;193;29;414
12 0 73; Uckermark;121057;37946;728;37218;13105;10306;791;0;9334;795;400;159;74;278;521;0;45;79;555;80;20;0;77;12;199;45;343
912; Brandenburg;2051960;616122;10335;605787;191124;176407;20160;0;156313;13641;9711;3412;1311;4696;6432;0;1166;1386;7345;1334;395;0;1276;233;3069;552;5824

13 0 01; Greifswald, Hansestadt;43946;19653;456;19197;2621;10085;770;0;4444;241;162;105;29;125;186;0;27;14;165;11;5;0;21;4;66;21;95
13 0 02; Neubrandenburg, Stadt;59896;26588;650;25938;5105;9619;494;0;9045;262;253;106;28;174;271;0;76;36;97;22;15;0;33;13;98;34;157
13 0 03; Rostock, Hansestadt;164766;64061;1529;62532;15003;19986;2353;0;21417;860;410;283;75;375;493;0;88;71;348;34;42;0;74;14;211;41;354
13 0 04; Schwerin, Landeshauptstadt;82776;35255;904;34351;7498;12311;1387;0;10908;459;235;264;37;213;320;0;46;66;125;31;26;0;37;9;139;38;202
13 0 05; Stralsund, Hansestadt;49816;22207;576;21631;3900;9794;615;0;5585;208;389;105;12;178;249;0;52;28;196;22;18;0;43;6;95;17;119
13 0 06; Wismar, Hansestadt;37606;16095;481;15614;5158;5781;357;0;3243;298;138;92;18;100;137;0;13;11;73;17;12;0;18;4;52;12;80
13 0 51; Bad Doberan;88696;49172;2419;46753;9933;21210;1276;0;10800;734;470;198;61;399;459;0;61;90;245;51;37;0;91;29;216;35;358
13 0 52; Demmin;75405;43295;2625;40670;6289;22242;648;0;8506;438;558;134;55;343;472;0;77;85;200;48;43;0;75;18;142;35;262
13 0 53; Güstrow;89036;48119;2752;45367;9838;20762;912;0;10268;653;523;188;64;416;567;0;71;95;226;65;63;0;89;23;193;37;314
13 0 54; Ludwigslust;102159;56444;3056;53388;13365;23655;1275;0;11080;687;526;206;53;507;513;0;85;95;440;53;46;0;94;34;244;43;387
13 0 55; Mecklenburg-Strelitz;69422;39830;1942;37888;7852;17372;786;0;8705;574;514;153;40;359;460;0;61;58;340;40;30;0;52;19;171;43;259
13 0 56; Müritz;55493;31685;1961;29724;7007;13093;930;0;6330;411;419;111;31;233;308;0;91;60;147;42;30;0;64;31;154;25;207
13 0 57; Nordvorpommern;93825;51236;2739;48497;8005;25469;867;0;10530;520;673;192;64;419;517;0;87;83;316;37;39;0;99;23;197;42;318
13 0 58; Nordwestmecklenburg;92465;49012;2702;46310;11281;20486;1170;0;9874;613;506;207;73;425;422;0;89;88;269;41;46;0;95;26;196;39;364
13 0 59; Ostvorpommern;91100;49499;2856;46643;6459;26045;739;0;9762;484;684;171;73;387;537;0;85;69;429;50;45;0;83;26;173;45;297
13 0 60; Parchim;84942;46254;2519;43735;9080;20527;1086;0;9833;730;439;196;43;362;384;0;66;73;215;43;43;0;70;13;194;41;297
13 0 61; Rügen;59896;30127;1651;28476;4052;14062;622;0;6955;581;475;140;43;299;433;0;54;53;151;23;30;0;61;11;140;42;249
13 0 62; Uecker-Randow;68208;37106;2089;35017;5993;17228;558;0;8312;436;552;155;43;300;436;0;60;59;278;42;41;0;78;16;149;42;239
913; Mecklenburg-Vorpommern;1409453;715638;33907;681731;138439;309727;16845;0;165597;9189;7926;3006;842;5614;7164;0;1189;1134;4260;672;611;0;1177;319;2830;632;4558

14 1 61; Chemnitz, Stadt;219303;106276;2782;103494;24671;38227;3054;0;27588;2014;3128;569;78;486;603;0;470;136;593;121;30;0;192;18;545;72;899
14 1 66; Plauen, Stadt;59164;28241;795;27446;6598;10585;881;0;5994;723;1164;149;18;194;149;0;135;48;197;32;8;0;61;10;171;21;308
14 1 67; Zwickau, Stadt;86753;41744;1340;40404;9363;16293;976;0;9835;865;990;175;35;205;210;0;306;54;347;21;31;0;87;13;201;25;372
14 1 71; Annaberg;72959;45311;1890;43421;7402;23233;857;0;6763;1070;1203;177;31;268;300;0;365;70;553;146;38;0;102;9;298;31;505
14 1 73; Chemnitzer Land;116668;62903;2649;60254;14248;26926;1496;0;11117;1519;1299;330;52;433;366;0;453;107;501;77;38;0;138;11;375;43;725
14 1 77; Freiberg;123497;72373;3019;69354;11634;33491;1537;0;13440;1882;2064;345;133;624;740;0;296;165;949;168;88;0;229;30;555;70;914
14 1 78; Vogtlandkreis;169182;90731;3490;87241;19453;40832;1573;0;15094;2274;2871;362;62;542;494;0;902;159;466;165;29;0;225;20;600;61;1057
14 1 81; Mittlerer Erzgebirgskreis;76978;47327;2348;44979;7918;22690;900;0;7884;1291;1415;170;43;279;337;0;329;105;376;155;27;0;122;8;311;32;587
14 1 82; Mittweida;113449;67159;2685;64474;14069;30065;1042;0;11936;1546;2279;278;35;416;425;0;283;82;521;87;24;0;151;16;447;37;735
14 1 88; Stollberg;77313;43772;1945;41827;8871;20280;719;0;7736;837;1028;151;30;237;236;0;254;64;453;103;19;0;97;8;221;25;458
14 1 91; Aue-Schwarzenberg;117083;65612;2722;62890;11839;30830;981;0;12291;1255;1833;241;38;383;399;0;757;103;518;99;32;0;167;21;384;34;685
14 1 93; Zwickauer Land;111802;61279;2457;58822;12036;28341;1132;0;11115;1549;1273;223;40;342;324;0;639;82;468;100;54;0;134;14;356;27;573
14 2 62; Dresden, Stadt;382553;203832;4853;198979;29250;89099;10832;0;50377;4524;3032;1705;345;1207;1336;0;337;460;2232;191;291;0;452;60;1152;224;1873
14 2 63; Görlitz, Stadt;51070;21781;576;21205;4168;9277;583;0;4753;375;463;166;29;181;209;0;50;45;352;32;31;0;60;6;161;25;239
14 2 64; Hoyerswerda, Stadt;43282;18802;684;18118;3911;6337;232;0;6007;306;486;98;16;97;166;0;12;15;105;11;10;0;44;6;137;11;111
14 2 72; Bautzen;127435;76241;2887;73354;10046;40595;1296;0;13371;1553;2380;256;62;497;491;0;222;121;762;97;47;0;209;25;492;65;767
14 2 80; Meißen;123489;68616;2465;66151;10278;33445;2268;0;12568;1774;1512;442;75;470;457;0;109;140;988;79;94;0;218;28;439;58;709
14 2 84; Niederschles. Oberlausitzkreis;85104;47511;1798;45713;7714;21744;758;0;10087;865;1195;227;36;382;472;0;139;110;732;58;37;0;160;8;438;55;496
14 2 85; Riesa-Großenhain;99114;56689;2457;54232;9475;25656;984;0;11507;1295;1300;255;50;453;426;0;93;143;1217;57;31;0;144;20;500;44;582
14 2 86; Löbau-Zittau;127310;70822;3439;67383;9765;34515;1472;0;13013;1478;1714;403;72;567;714;0;261;117;1383;102;42;0;207;24;548;61;925
14 2 87; Sächsische Schweiz;121148;73294;2784;70510;9502;36325;1543;0;14259;1589;1493;437;54;607;626;0;109;159;2016;78;65;0;241;17;473;71;846
14 2 90; Weißeritzkreis;99495;59774;2288;57486;7760;31230;1317;0;10301;1112;2005;307;54;481;405;0;122;135;829;119;40;0;185;12;386;42;644
14 2 92; Kamenz;123997;75247;3066;72181;11939;36853;1438;0;14144;1873;1977;347;56;504;449;0;180;146;697;74;36;0;198;26;498;50;696
14 3 65; Leipzig, Stadt;385655;161385;3867;157518;42246;53786;7864;0;40547;2854;2061;1107;169;776;962;0;310;297;1322;128;108;0;388;35;848;130;1580
14 3 74; Delitzsch;100281;51847;1982;49865;12075;21813;930;0;10290;1235;1019;161;26;283;238;0;57;77;610;37;19;0;148;12;334;24;477
14 3 75; Döbeln;64188;35035;1653;33382;6410;16741;500;0;6366;890;850;111;19;189;197;0;38;76;267;32;12;0;79;7;228;24;346
14 3 79; Leipziger Land;129688;70927;2637;68290;17937;29048;1432;0;13320;1294;1571;315;39;442;469;0;102;119;507;45;61;0;199;10;541;54;785
14 3 83; Muldentalkreis;108844;61374;2520;58854;13781;26174;1463;0;10950;1428;1284;199;57;340;319;0;183;112;1133;48;25;0;185;15;392;47;719
14 3 89; Torgau-Oschatz;82079;44078;1918;42160;9441;18460;868;0;8473;1193;1643;127;44;250;248;0;40;66;416;26;11;0;130;12;324;24;364
914; Sachsen;3598883;1929983;69996;1859987;363800;852891;50928;0;391126;42463;46532;9833;1798;12135;12767;0;7553;3513;21510;2488;1378;0;4952;501;12355;1487;19977

15 1 01; Dessau, Stadt;70532;31390;816;30574;8502;11275;833;0;6879;957;406;243;29;194;346;0;36;44;150;19;28;0;76;8;200;34;315
15 1 51; Anhalt-Zerbst;63807;33299;1265;32034;8406;13010;714;0;6323;1065;557;221;38;236;396;0;49;50;168;46;32;0;107;28;224;36;328
15 1 53; Bernburg;58617;27752;1118;26634;7080;10761;447;0;5418;1035;384;138;17;156;363;0;64;40;142;32;26;0;71;13;155;26;266
15 1 54; Bitterfeld;90814;46837;1816;45021;12148;18733;635;0;8438;1237;730;335;51;380;642;0;63;69;271;46;67;0;167;17;333;52;607
15 1 59; Köthen;57115;29729;1297;28432;7690;11573;469;0;5805;806;420;140;26;185;345;0;52;47;156;23;37;0;86;14;220;31;307
15 1 71; Wittenberg;108730;60010;2396;57614;14262;24832;1059;0;10990;1692;954;334;70;526;740;0;152;102;366;65;122;0;192;27;462;64;603
15 2 02; Halle (Saale), Stadt;207285;92368;2306;90062;21732;28798;3810;0;24990;3358;818;1389;131;747;1173;0;128;164;520;80;220;0;277;34;625;106;962
15 2 56; Burgenlandkreis;118579;63850;2558;61292;15590;25505;1102;0;11805;1763;1048;393;73;536;833;0;167;106;688;72;104;0;194;39;555;71;648
15 2 60; Mansfelder Land;90838;47895;2155;45740;12148;18646;535;0;9750;1020;612;277;53;369;680;0;70;67;306;55;59;0;148;27;347;61;510
15 2 61; Merseburg-Querfurt;110996;56701;2510;54191;13904;21658;824;0;11337;2127;651;381;79;435;752;0;65;100;456;61;60;0;213;27;435;61;565
15 2 65; Saalkreis;63506;35575;1476;34099;8037;14747;629;0;6597;1510;438;237;50;289;324;0;52;66;243;34;38;0;139;23;287;30;329
15 2 66; Sangerhausen;56716;30964;1231;29733;7523;12212;435;0;6070;1166;409;151;30;256;392;0;41;50;247;39;37;0;118;4;252;40;261
15 2 68; Weißenfels;65165;33227;1489;31738;8330;12838;416;0;6853;832;448;194;43;243;406;0;51;41;227;53;26;0;100;17;268;32;320
15 3 03; Magdeburg, Landeshauptstadt;193207;79020;1772;77248;22782;25128;2497;0;19966;1407;778;1031;57;409;730;0;105;92;553;60;50;0;197;20;598;71;717
15 3 52; Aschersleben-Staßfurt;85732;41179;1628;39551;10692;15741;564;0;8487;1073;438;300;34;287;536;0;72;61;245;45;43;0;128;21;297;37;450
15 3 55; Bördekreis;65448;34855;1632;33223;9950;13441;532;0;5975;908;423;244;45;254;354;0;50;45;248;53;31;0;104;16;213;34;303
15 3 57; Halberstadt;65201;31928;1084;30844;8281;13894;652;0;5408;541;290;176;29;171;328;0;87;56;201;26;36;0;91;6;231;32;308
15 3 58; Jerichower Land;81181;40028;1591;38437;10130;15873;728;0;7578;1080;476;331;38;316;493;0;54;73;256;38;53;0;121;14;309;49;427
15 3 62; Ohrekreis;93180;47344;1951;45393;12557;19249;842;0;8247;1088;566;339;47;341;480;0;73;84;340;53;51;0;144;21;346;47;478
15 3 63; Stendal;111320;50145;1677;48468;13783;20054;931;0;9192;940;483;316;64;345;562;0;134;83;341;69;39;0;131;183;341;31;446
15 3 64; Quedlinburg;64929;33349;1316;32033;8819;12927;672;0;6000;1072;342;223;46;223;449;0;59;50;322;38;19;0;84;16;268;35;369
15 3 67; Schönebeck;63411;29953;1047;28906;7431;12299;504;0;5623;748;302;256;34;214;390;0;113;42;191;39;34;0;104;14;187;37;344
15 3 69; Wernigerode;78677;41952;1547;40405;11222;16423;778;0;7695;909;457;359;48;338;504;0;119;77;370;38;30;0;157;17;330;53;481
15 3 70; Altmarkkreis Salzwedel;80007;42955;1644;41311;12078;16419;727;0;8113;931;541;263;53;298;414;0;97;83;356;58;34;0;136;24;307;42;337
915; Sachsen-Anhalt;2144993;1062305;39322;1022983;273077;406036;21335;0;213539;29265;12971;8271;1185;7748;12632;0;1953;1692;7363;1142;1276;0;3285;630;7790;1112;10681

16 0 51; Erfurt, Stadt;161768;80024;1389;78635;18701;30551;3134;0;20397;1171;1123;581;122;505;378;0;114;154;289;48;32;0;119;17;460;69;670
16 0 52; Gera, Stadt;93651;43126;832;42294;9548;14507;940;0;13294;615;650;288;40;335;285;0;82;118;590;44;18;0;92;16;366;31;435
16 0 53; Jena, Stadt;77699;41182;598;40584;10836;12706;2665;0;10234;1340;718;214;72;243;257;0;102;97;306;34;35;0;69;12;263;36;345
16 0 54; Suhl, Stadt;39786;21505;418;21087;4706;7458;464;0;6958;258;285;82;22;166;89;0;18;43;99;10;7;0;45;1;121;19;236
16 0 55; Weimar, Stadt;48963;25259;472;24787;6051;9759;1593;0;5336;479;380;151;29;148;135;0;50;50;121;21;16;0;41;8;168;19;232
16 0 56; Eisenach, Stadt;36061;18327;343;17984;4909;6992;593;0;3916;266;286;129;58;138;95;0;69;49;103;8;9;0;27;3;134;8;192
16 0 61; Eichsfeld;87557;58589;1403;57186;10136;36775;900;0;5544;1087;711;149;250;341;183;0;52;90;197;56;4;0;88;20;237;20;346
16 0 62; Nordhausen;79646;45842;1169;44673;13736;17442;765;0;9471;719;658;155;28;243;218;0;74;83;202;36;31;0;96;25;282;20;389
16 0 63; Wartburgkreis;116905;72817;1956;70861;20326;30818;1288;0;12480;1512;1403;218;62;541;258;0;110;116;390;55;32;0;145;13;471;37;586
16 0 64; Unstrut-Hainich-Kreis;95433;55300;1415;53885;15058;24423;841;0;9105;1332;934;220;37;391;234;0;44;84;257;28;20;0;79;3;339;33;423
16 0 65; Kyffhäuserkreis;77203;45472;1319;44153;12738;17965;641;0;9064;938;782;157;27;304;243;0;55;95;233;44;29;0;114;12;303;21;388
16 0 66; Schmalkalden-Meiningen;117396;72783;2213;70570;17927;30714;1401;0;14490;1402;1032;260;72;541;335;0;201;146;294;86;112;0;196;20;608;55;678
16 0 67; Gotha;120893;73563;2062;71501;19096;29701;1470;0;13831;1698;1296;416;51;862;420;0;129;205;411;52;225;0;177;15;548;49;849
16 0 68; Sömmerda;65645;39504;1296;38208;9244;17222;728;0;7265;983;730;161;37;325;231;0;39;91;180;40;37;0;96;19;320;21;439
16 0 69; Hildburghausen;59520;37304;1017;36287;9600;15153;511;0;7597;1016;737;111;32;338;153;0;35;60;151;31;7;0;93;2;328;31;301
16 0 70; Ilm-Kreis;98762;61146;1697;59449;14438;26396;1192;0;12101;943;953;252;60;539;409;0;83;147;454;68;59;0;182;13;476;48;636
16 0 71; Weimarer Land;72342;45332;1300;44032;10829;19877;905;0;7943;1153;863;234;40;431;227;0;71;118;302;26;32;0;96;10;371;35;469
16 0 72; Sonneberg;56717;33212;856;32356;8528;12408;417;0;7847;882;620;117;31;287;160;0;56;58;297;13;66;0;47;2;215;14;291
16 0 73; Saalfeld-Rudolstadt;108940;65255;1710;63545;16746;25751;1256;0;13036;1409;1678;280;63;565;415;0;140;184;503;60;73;0;184;18;484;50;650
16 0 74; Saale-Holzland-Kreis;75195;46199;1428;44771;11014;18779;1142;0;8721;1391;994;210;57;388;271;0;122;134;402;37;60;0;130;20;361;34;504
16 0 75; Saale-Orla-Kreis;80112;49440;1321;48119;12626;19898;796;0;9753;1123;1263;154;45;373;242;0;130;135;335;76;132;0;139;12;399;31;457
16 0 76; Greiz;101931;61071;1799;59272;15146;26344;1005;0;10934;1148;1213;236;45;446;368;0;251;148;506;57;43;0;175;21;492;43;651
16 0 77; Altenburger Land;95699;51964;1555;50409;13337;20735;902;0;10136;952;1644;232;16;365;306;0;111;115;399;61;34;0;147;18;377;21;501
916; Thüringen;1967824;1144216;29568;1114648;285276;472374;25549;0;229453;23817;20953;5007;1296;8815;5912;0;2138;2520;7021;991;1113;0;2577;300;8123;745;10668

999; Bundesgebiet;60786904;27468932;409659;27059273;8307085;10628224;1741494;2540007;1567745;820371;461038;112142;100048;97984;71430;14950;68732;38139;107662;30746;9431;4117;34029;7080;100128;11505;185186
