# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
03 4 54; Emsland;218674;101810;627;101183;22108;72132;2738;0;508;1772;463;144;70;207;99;0;70;71;129;68;11;0;55;34;182;22;300
03 4 55; Friesland;77621;30316;314;30002;13683;12191;1623;0;275;1221;309;98;32;79;34;0;34;42;81;11;3;0;26;11;78;9;162
03 4 56; Grafschaft Bentheim;92986;41012;176;40836;14626;22731;1593;0;252;841;161;52;90;85;27;0;65;30;42;28;5;0;19;1;69;4;115
03 4 57; Leer;120139;45877;443;45434;21795;18655;2136;0;500;859;313;141;38;142;45;0;250;48;91;45;4;0;44;6;102;11;209
03 4 58; Oldenburg;89767;36779;200;36579;14540;16580;2276;0;383;1736;230;150;36;100;27;0;33;45;98;19;7;0;20;1;93;5;200
03 4 59; Osnabrück;257905;127189;892;126297;42080;71397;5955;0;899;3029;680;241;173;299;105;0;125;190;223;71;15;0;81;26;246;26;436
03 4 60; Vechta;87062;41348;282;41066;7439;30523;1221;0;144;1001;249;59;20;57;26;0;22;15;50;22;4;0;25;12;83;4;90
03 4 61; Wesermarsch;71319;27635;281;27354;13668;10250;1351;0;283;1078;186;71;22;74;22;0;18;30;51;16;8;0;20;2;62;12;130
03 4 62; Wittmund;43547;16522;157;16365;7162;7441;752;0;135;377;131;45;10;48;19;0;11;29;21;9;1;0;17;1;53;3;100
903; Niedersachsen;5960804;2634368;20960;2613408;1033547;1232977;158834;0;32077;69910;25816;7863;3040;6734;2867;0;6215;2893;7021;1622;440;0;1917;435;6158;646;12396

04 0 11; Bremen, Stadt;401555;179288;1078;178210;76275;61786;23538;0;4954;5044;1307;941;156;318;284;0;283;436;700;92;27;0;128;20;632;49;1240
04 0 12; Bremerhaven, Stadt;90295;36119;261;35858;17292;12647;2634;0;622;1122;403;171;21;86;73;0;23;66;223;14;5;0;30;5;110;12;299
904; Bremen;491850;215407;1339;214068;93567;74433;26172;0;5576;6166;1710;1112;177;404;357;0;306;502;923;106;32;0;158;25;742;61;1539

05 1 11; Düsseldorf, Stadt;410369;176962;1042;175920;60004;81928;15313;0;3770;8166;1819;1169;211;307;242;0;139;204;413;120;67;0;135;80;632;98;1103
05 1 12; Duisburg, Stadt;365427;134601;1248;133353;67577;46015;7882;0;2975;3235;1689;880;150;341;152;0;110;112;549;136;30;0;131;54;408;40;887
05 1 13; Essen, Stadt;457555;179572;1542;178030;75457;72582;14203;0;3522;5351;2004;972;209;542;186;0;217;144;472;128;34;0;161;72;445;45;1284
05 1 14; Krefeld, Stadt;167790;66033;436;65597;22661;32621;4801;0;784;2420;581;436;52;138;81;0;77;62;141;78;20;0;50;29;157;17;391
05 1 16; Mönchengladbach, Stadt;196421;73359;558;72801;23588;38241;4731;0;865;3085;590;299;88;160;58;0;70;110;147;54;18;0;64;33;198;20;382
05 1 17; Mülheim an der Ruhr, Stadt;133349;59060;416;58644;26399;22701;4108;0;1005;2349;491;321;56;139;47;0;78;43;210;37;15;0;81;18;154;20;372
05 1 19; Oberhausen, Stadt;163896;59441;507;58934;30033;20717;3591;0;1103;1181;592;405;109;144;76;0;58;39;184;43;6;0;68;46;160;24;355
05 1 20; Remscheid, Stadt;85096;33027;280;32747;12383;15336;1918;0;474;1359;437;119;82;80;32;0;59;25;96;34;7;0;21;12;84;8;181
05 1 22; Solingen, Stadt;116001;48457;382;48075;17479;22723;3063;0;778;2167;561;209;117;132;40;0;99;33;131;37;16;0;52;35;113;17;273
05 1 24; Wuppertal, Stadt;262805;108800;793;108007;42472;44539;9513;0;2424;4659;1473;453;139;242;125;0;285;90;317;112;17;0;114;29;336;40;628
05 1 54; Kleve;212214;97081;970;96111;28852;56011;4802;0;669;3396;522;295;191;157;79;0;72;58;149;63;6;0;70;29;204;25;461
05 1 58; Mettmann;372644;172358;1349;171009;61650;82115;10968;0;2235;7681;1678;751;209;426;182;0;305;159;584;147;41;0;193;56;473;46;1110
05 1 62; Neuss;321931;146652;1219;145433;44900;79559;8280;0;1372;6233;1181;687;167;344;120;0;113;102;287;118;28;0;132;551;454;37;768
05 1 66; Viersen;217193;93782;761;93021;29682;50475;5689;0;831;3740;621;329;92;202;77;0;71;85;151;75;18;0;86;38;251;29;479
05 1 70; Wesel;347536;147747;1282;146465;63393;62817;9313;0;1638;4661;1151;685;129;342;145;0;127;110;345;106;32;0;162;40;416;37;816
05 3 13; Aachen, Stadt;163242;81973;628;81345;23911;39153;10818;0;1679;3445;465;324;118;144;88;0;48;110;214;55;19;0;66;11;213;28;436
05 3 14; Bonn, Stadt;213494;110689;731;109958;29347;53555;14176;0;2307;6958;822;411;248;207;114;0;179;90;209;72;51;0;88;29;363;44;688
05 3 15; Köln, Stadt;661883;272823;672;272151;95917;110748;38635;0;6155;11835;2031;1562;420;409;282;0;291;249;635;458;50;0;150;80;806;140;1298
05 3 16; Leverkusen, Stadt;116862;51166;449;50717;18928;23471;3667;0;621;2163;574;337;49;132;56;0;43;53;115;41;15;0;35;15;140;10;252
05 3 54; Aachen;222051;103432;1382;102050;41590;48014;5393;0;1039;2625;1063;378;85;303;96;0;44;91;234;59;16;0;97;24;254;20;625
05 3 58; Düren;192665;89173;1032;88141;31701;45489;4702;0;855;2559;584;357;85;253;87;0;72;81;160;169;17;0;100;30;230;33;577
05 3 62; Erftkreis;325517;152297;1506;150791;59163;70255;9357;0;1351;5955;1146;705;182;323;98;0;105;128;369;119;24;0;120;50;382;46;913
05 3 66; Euskirchen;140131;64650;697;63953;18143;37182;3532;0;460;2622;468;254;81;148;42;0;97;52;95;82;33;0;63;16;182;10;391
05 3 70; Heinsberg;176379;80402;1191;79211;23801;46414;3822;0;556;2117;767;297;73;215;80;0;42;100;142;71;13;0;69;29;185;21;397
05 3 74; Oberbergischer Kreis;205818;92044;777;91267;30695;47874;5410;0;814;3462;753;332;192;200;55;0;259;71;227;128;11;0;56;28;198;22;480
05 3 78; Rheinisch-Bergischer Kreis;205809;103630;631;102999;31764;52444;8488;0;1111;5621;932;553;165;257;98;0;216;68;201;137;25;0;79;25;239;30;546
