Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;CSU;CSU;DIE LINKE;DIE LINKE;FDP;FDP;REP;REP;Die Tierschutzpartei;Die Tierschutzpartei;FAMILIE;FAMILIE;ödp;ödp;DIE FRAUEN;DIE FRAUEN;Volksabstimmung;Volksabstimmung;PBC;PBC;CM;CM;AUFBRUCH;AUFBRUCH;DKP;DKP;BP;BP;PSG;PSG;BüSo;BüSo;50Plus;50Plus;AUF;AUF;DVU;DVU;DIE GRAUEN;DIE GRAUEN;DIE VIOLETTEN;DIE VIOLETTEN;EDE;EDE;FBI;FBI;VOLKSENTSCHEIDE;VOLKSENTSCHEIDE;FW FREIE WÄHLER;FW FREIE WÄHLER;Newropeans;Newropeans;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
3103;"Wolfsburg, Stadt";3;91792;92024;35389;33908;379;549;35010;33359;14298;14758;10644;10411;3230;3166;;;1423;708;2361;1787;236;281;260;306;202;208;34;52;80;117;83;151;146;94;43;58;24;33;25;28;8;;5;22;7;17;49;;22;;139;;73;;49;;11;;27;;24;;55;;10;;278;;786;;378;;;1162;
3151;"Gifhorn";3;134071;130857;53500;59441;495;1068;53005;58373;21869;28818;15147;16648;5296;5238;;;1882;882;4487;2796;356;510;506;593;425;443;71;71;134;211;124;188;508;470;38;67;39;54;20;42;24;;8;46;6;31;86;;67;;136;;73;;63;;11;;45;;45;;95;;18;;402;;594;;430;;;1265;
3152;"Göttingen";3;197393;198129;83506;81503;722;1226;82784;80277;27533;31158;23166;21966;15052;15684;;;4108;1996;7933;4593;417;412;578;650;405;484;127;149;196;212;164;294;115;165;66;137;47;81;103;170;51;;32;60;14;42;149;;68;;198;;120;;127;;25;;57;;86;;279;;54;;892;;205;;417;;;2024;
3153;"Goslar";3;116126;120251;44439;44924;572;821;43867;44103;16525;19609;13015;13750;4003;3959;;;2229;948;4426;2722;315;550;512;494;311;272;53;58;106;119;120;173;78;138;26;38;33;42;25;26;34;;10;30;11;21;88;;64;;227;;88;;42;;8;;32;;38;;219;;19;;342;;379;;489;;;1154;
3154;"Helmstedt";3;76285;77753;31202;30180;375;507;30827;29673;11860;13260;9840;9694;2738;2245;;;1221;537;2547;1579;271;208;391;393;201;201;35;31;67;101;89;118;79;78;22;40;37;34;16;23;23;;6;15;8;18;64;;29;;144;;53;;24;;7;;29;;46;;79;;12;;217;;326;;346;;;1098;
3155;"Northeim";3;114360;117172;47411;48111;612;1110;46799;47001;16602;19123;16983;17239;4047;3837;;;1748;788;4618;3081;402;477;336;465;288;338;40;52;115;147;109;226;85;102;35;64;41;53;28;40;31;;6;23;10;33;90;;40;;107;;67;;65;;6;;38;;56;;89;;11;;286;;130;;290;;;913;
3156;"Osterode am Harz";3;65114;67259;24128;24456;312;516;23816;23940;8743;10313;8127;8368;1906;1744;;;948;402;2397;1383;228;238;206;295;157;190;28;29;56;88;56;111;40;68;14;26;26;29;15;21;22;;6;23;5;13;46;;20;;105;;44;;19;;9;;18;;22;;59;;4;;145;;129;;216;;;599;
3157;"Peine";3;103151;103100;41854;41107;336;667;41518;40440;14440;16528;14905;14669;3989;3636;;;1542;690;3595;2073;396;544;407;446;278;301;37;37;106;134;88;166;121;138;24;47;19;42;20;38;24;;12;27;13;19;72;;43;;97;;78;;34;;9;;35;;31;;53;;12;;331;;279;;428;;;905;
3158;"Wolfenbüttel";3;97881;98992;45300;43154;522;659;44778;42495;16317;18553;13471;13249;5422;4393;;;1785;780;4190;2351;390;575;558;610;298;308;65;58;101;156;95;180;96;115;22;60;22;46;21;33;19;;13;21;6;24;68;;26;;215;;62;;45;;16;;23;;35;;90;;17;;305;;437;;548;;;983;
3241;"Region Hannover";3;842278;837141;363609;357873;2915;5614;360694;352259;118898;134929;105438;105746;56331;56166;;;16221;7860;38605;24027;2928;3009;3110;3470;1704;2126;560;572;733;1039;795;1430;711;1167;369;426;239;318;293;460;219;;93;257;99;281;703;;324;;1032;;752;;470;;130;;263;;323;;1066;;177;;3336;;2177;;2595;;;8976;
