# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
08 1 17;Göppingen;180321;93564;3249;90315;42199;19599;0;10845;798;6212;3374;1283;815;564;640;508;615;151;0;42;77;1071;546;467;194;68;190;57
08 1 18;Ludwigsburg;346244;190854;5078;185776;80534;39266;0;28277;2163;13271;7154;2675;3543;660;1420;798;1493;326;0;79;123;1802;928;646;197;131;194;96
08 1 19;Rems-Murr-Kreis;288651;155225;4332;150893;67733;30550;0;20252;1489;12390;5990;2030;1500;599;1049;1059;2064;264;0;102;113;1630;875;617;204;105;188;90
08 1 21;Heilbronn, Stadt;77530;36857;998;35859;15828;9135;0;3618;485;2599;2083;320;296;173;221;285;142;39;0;6;18;223;144;79;32;21;91;21
08 1 25;Heilbronn;231215;124755;4666;120089;57130;26939;0;11374;1107;9205;5147;1519;838;883;741;1079;1010;234;0;37;80;1235;681;321;128;77;279;45
08 1 26;Hohenlohekreis;80032;43253;1605;41648;21091;8050;0;3621;336;3640;1267;524;296;442;318;181;554;86;0;25;36;486;313;187;62;18;85;30
08 1 27;Schwäbisch Hall;138620;69789;3004;66785;29978;13925;0;8165;643;5572;1968;890;487;540;617;925;1106;132;0;24;52;812;396;244;94;46;127;42
08 1 28;Main-Tauber-Kreis;104539;61171;2902;58269;32904;9909;0;5206;427;3337;1620;672;434;703;461;588;426;128;0;16;40;617;300;201;78;43;115;44
08 1 35;Heidenheim;97196;48727;1724;47003;22240;11000;0;4979;399;2413;1741;539;419;228;308;496;450;75;0;21;39;459;311;151;55;253;385;42
08 1 36;Ostalbkreis;229514;120841;4944;115897;62455;22835;0;12107;968;5626;4235;1156;849;487;990;395;914;207;0;42;81;1177;582;330;124;70;205;62
08 2 11;Baden-Baden, Stadt;40125;18973;561;18412;8836;3217;0;2922;216;1680;270;269;177;115;96;50;68;31;0;6;24;179;139;50;13;17;27;10
08 2 12;Karlsruhe, Stadt;197232;90620;2246;88374;33137;19812;0;18582;1888;7806;1032;1096;894;521;456;554;488;79;0;46;55;691;390;329;102;121;229;66
08 2 15;Karlsruhe;312973;171860;8291;163569;81623;34121;0;18328;1398;11216;4452;2489;1407;899;1002;386;1227;416;0;80;150;1913;1038;564;341;119;278;122
08 2 16;Rastatt;165459;83294;4070;79224;42026;15304;0;8563;639;4875;1947;1311;636;440;548;208;252;122;0;23;147;975;503;247;115;76;205;62
08 2 21;Heidelberg, Stadt;93521;49037;984;48053;16280;10096;0;13868;1048;3957;398;484;334;176;221;289;121;50;0;13;36;233;170;96;32;62;59;30
08 2 22;Mannheim, Universitätsstadt;199179;87327;2371;84956;32403;24564;0;12506;1717;4980;2107;1292;1217;782;563;130;316;89;0;49;71;801;542;237;110;215;203;62
08 2 25;Neckar-Odenwald-Kreis;110455;63691;3449;60242;35610;11210;0;4478;449;2715;1437;741;423;361;396;267;339;123;0;27;53;693;420;198;92;43;117;50
08 2 26;Rhein-Neckar-Kreis;387787;219676;10228;209448;95106;48134;0;28397;2159;14766;4159;3396;2320;2121;1328;585;896;361;0;96;208;2302;1400;597;232;188;529;168
08 2 31;Pforzheim, Stadt;79102;32599;1035;31564;15238;6043;0;3656;389;2358;1273;501;367;204;224;75;160;36;0;15;35;305;263;209;60;29;101;23
08 2 35;Calw;109374;59869;2452;57417;28993;9658;0;6412;521;4217;1707;804;624;440;406;195;1122;237;0;33;97;814;539;284;88;39;140;47
08 2 36;Enzkreis;139182;75315;3546;71769;32259;15722;0;9187;612;5153;2313;1152;707;393;442;213;1124;164;0;32;72;955;582;336;94;45;157;55
08 2 37;Freudenstadt;87130;45537;1842;43695;23188;7380;0;4266;357;3045;1591;581;366;234;279;151;697;151;0;12;37;647;381;144;63;26;70;29
08 3 11;Freiburg im Breisgau, Stadt;142000;72860;1430;71430;21422;12958;0;26303;1741;3739;644;942;693;226;543;410;200;92;0;31;67;560;253;164;113;154;92;83
08 3 15;Breisgau-Hochschwarzwald;181517;106270;4275;101995;47353;18252;0;19244;905;6847;1514;1613;1030;405;674;404;543;268;0;43;83;1320;667;374;161;83;133;79
08 3 16;Emmendingen;115984;63864;3140;60724;26765;13210;0;10281;568;3843;1009;1239;567;319;426;174;250;192;0;23;62;802;471;217;88;59;113;46
08 3 17;Ortenaukreis;307032;161180;8434;152746;79737;28728;0;18294;1517;8582;3385;2281;1321;823;1245;376;757;373;0;65;163;2305;1339;564;306;94;335;156
08 3 25;Rottweil;103277;54530;3159;51371;27658;8489;0;4606;354;3529;1162;702;523;348;409;1214;428;151;0;32;52;753;494;200;98;27;98;44
08 3 26;Schwarzwald-Baar-Kreis;150893;75726;3467;72259;37681;12822;0;7988;616;5286;1418;1041;814;585;537;315;777;182;0;37;72;865;592;283;94;47;149;58
08 3 27;Tuttlingen;94715;51285;2616;48669;27913;7612;0;4472;305;3599;989;615;430;477;313;167;280;98;0;25;59;572;381;147;61;40;81;33
08 3 35;Konstanz;192162;94937;3672;91265;42376;16248;0;16140;1239;6853;1280;1242;1073;452;681;319;471;172;0;57;117;1113;567;405;153;91;150;66
08 3 36;Lörrach;156808;76881;3618;73263;30228;17090;0;11865;1053;5148;1683;1131;873;361;497;201;768;158;0;28;78;875;480;401;117;51;132;45
08 3 37;Waldshut;117055;62436;2934;59502;30677;10525;0;7634;485;3625;1795;831;622;222;442;499;501;134;0;23;42;693;341;177;92;29;64;49
08 4 15;Reutlingen;195041;102936;3710;99226;47078;18125;0;14786;1142;8037;2284;1282;838;655;570;348;666;268;0;41;387;1113;764;363;145;82;195;57
08 4 16;Tübingen;145022;82300;2185;80115;31300;14611;0;19369;2109;5164;2488;777;533;222;492;514;515;190;0;24;101;745;360;333;71;84;66;47
08 4 17;Zollernalbkreis;140120;71156;3223;67933;36912;11378;0;6209;490;4372;2207;1024;646;562;613;201;601;189;0;40;91;935;715;289;152;55;191;61
08 4 21;Ulm, Universitätsstadt;78757;38664;919;37745;15609;8213;0;7430;587;2569;541;461;375;247;240;241;130;66;0;29;26;357;257;131;85;36;81;34
08 4 25;Alb-Donau-Kreis;134395;79272;3042;76230;43274;11913;0;8390;526;3821;2321;904;582;610;508;441;498;221;0;39;73;945;509;276;132;45;142;60
08 4 26;Biberach;136736;79360;3215;76145;46867;8545;0;7342;358;3910;3128;784;450;570;873;728;272;281;0;47;60;981;382;263;97;44;117;46
08 4 35;Bodenseekreis;147059;80666;2418;78248;39814;12528;0;11868;717;5285;1073;1211;797;470;647;744;404;198;0;36;92;979;511;478;125;38;165;68
08 4 36;Ravensburg;195571;104747;3454;101293;57004;13119;0;14031;706;5079;1849;1332;817;463;700;2275;566;309;0;52;122;1303;654;406;175;66;191;74
08 4 37;Sigmaringen;95714;54702;2579;52123;32130;6425;0;4602;395;2729;1671;671;490;412;350;227;193;108;0;22;66;695;384;243;85;40;152;33
908;Baden-Württemberg;7487111;3977412;147043;3830369;1814174;751108;0;550529;42488;260678;108819;52484;38869;21830;26531;21906;28468;7934;0;1810;3790;42292;23922;14071;5484;3363;7154;2665

09 1 61;Ingolstadt, Stadt;85221;25592;275;25317;0;3946;13726;3013;340;1141;829;169;157;80;88;1064;105;34;200;8;20;139;104;59;31;15;40;9
09 1 62;München, Landeshauptstadt;835708;324737;2177;322560;0;60674;134512;75317;5153;19444;3798;3659;2844;983;1145;5971;523;460;2332;323;207;1356;1209;761;854;404;505;126
09 1 63;Rosenheim, Stadt;41202;15400;149;15251;0;2100;8179;1970;171;564;850;170;116;27;51;530;39;36;177;16;16;81;61;30;24;12;26;5
09 1 71;Altötting;82873;32049;342;31707;0;3717;21042;2121;147;1007;966;271;173;194;113;870;33;77;359;71;24;207;146;62;34;19;36;18
09 1 72;Berchtesgadener Land;73284;28141;283;27858;0;3007;17793;2636;174;923;905;308;161;84;77;712;161;128;264;15;38;161;100;50;34;20;86;21
09 1 73;Bad Tölz-Wolfratshausen;87400;40270;515;39755;0;4620;24859;4587;240;1672;465;367;235;113;139;856;76;62;768;26;21;233;138;94;79;31;55;19
09 1 74;Dachau;94987;37689;399;37290;0;4822;22340;4587;286;1550;560;345;231;94;103;1132;59;63;425;39;26;267;119;64;60;20;83;15
09 1 75;Ebersberg;89172;41274;387;40887;0;5521;23061;6342;351;1888;455;421;254;102;113;977;61;87;503;24;25;260;138;112;97;33;44;18
09 1 76;Eichstätt;90502;38925;387;38538;0;5526;24354;3082;276;1176;768;260;115;147;132;1486;81;79;410;14;36;221;146;83;58;18;53;17
09 1 77;Erding;88178;34863;306;34557;0;3771;20870;3718;278;1412;1232;312;156;94;120;1417;38;75;503;21;19;235;96;76;49;15;30;20
09 1 78;Freising;110136;45659;410;45249;0;5342;26023;6436;380;2153;774;433;264;229;166;1474;68;86;615;11;20;315;163;116;59;45;55;22
09 1 79;Fürstenfeldbruck;146807;66051;584;65467;0;9988;34911;10922;534;3043;950;716;580;148;191;1154;123;111;688;22;51;424;251;163;236;41;183;37
09 1 80;Garmisch-Partenkirchen;64732;26100;261;25839;0;2090;17540;2266;110;1090;253;240;157;60;75;1149;55;41;320;11;21;114;85;39;48;9;55;11
09 1 81;Landsberg a. Lech;80887;33365;265;33100;0;3714;18979;4980;231;1759;397;307;175;103;130;817;134;62;666;22;40;198;123;107;61;16;62;17
09 1 82;Miesbach;69533;29568;340;29228;0;3246;18673;3351;164;1284;573;305;145;60;95;483;40;48;354;14;31;124;90;58;38;16;29;7
09 1 83;Mühldorf a. Inn;82993;30012;360;29652;0;2894;19651;2355;175;981;802;297;135;162;85;858;54;95;499;30;32;182;150;81;48;22;44;20
09 1 84;München;219666;101615;745;100870;0;15826;52097;16726;891;6747;1183;1058;788;223;295;2263;135;121;897;59;63;464;348;245;181;66;144;50
09 1 85;Neuburg-Schrobenhausen;68038;26185;236;25949;0;3197;17666;1810;154;884;544;189;114;97;112;382;42;31;301;8;26;160;92;47;23;19;40;11
09 1 86;Pfaffenhofen a.d. Ilm;85211;32760;265;32495;0;4170;20251;3012;253;1323;767;236;166;88;107;1074;83;55;404;15;21;183;107;54;48;25;37;16
09 1 87;Rosenheim;178572;75247;644;74603;0;7691;46277;8344;465;2827;2426;695;420;161;232;2278;129;166;1064;115;64;447;279;200;127;55;111;30
09 1 88;Starnberg;93875;45995;341;45654;0;5734;24345;8284;287;3419;376;482;271;115;122;1026;48;41;400;29;21;218;133;100;94;23;68;18
09 1 89;Traunstein;128468;51868;704;51164;0;5800;32125;5379;333;1789;1022;488;305;201;131;1476;147;134;994;52;34;262;177;126;79;34;61;15
09 1 90;Weilheim-Schongau;96368;38685;381;38304;0;4993;22311;4527;310;1524;716;357;211;106;107;1610;95;72;578;19;41;227;147;123;71;24;118;17
09 2 61;Landshut, Stadt;45571;19626;336;19290;0;2511;11233;2421;173;791;359;267;129;87;83;533;31;34;219;11;17;116;121;50;25;31;38;10
09 2 62;Passau, Stadt;38613;13800;108;13692;0;1792;7280;1633;127;848;343;109;73;38;38;1082;21;14;108;3;5;54;63;12;19;6;19;5
09 2 63;Straubing, Stadt;34081;10518;119;10399;0;1225;6591;588;86;310;267;115;63;98;29;715;28;12;109;4;4;45;50;25;14;3;15;3
09 2 71;Deggendorf;89363;27494;295;27199;0;3194;17661;1717;140;856;1150;212;135;225;110;777;61;73;413;14;24;151;147;36;29;13;48;13
09 2 72;Freyung-Grafenau;64047;16285;152;16133;0;1821;10518;749;87;488;492;110;89;82;52;929;41;30;387;3;16;72;83;21;19;7;33;4
09 2 73;Kelheim;84079;37120;754;36366;0;5082;23498;2334;196;1175;777;300;116;197;147;1319;49;59;495;17;26;239;161;52;41;20;53;13
09 2 74;Landshut;110627;42547;388;42159;0;4065;28134;3211;255;1608;883;432;169;240;146;1324;53;83;734;20;36;315;204;68;74;29;55;21
09 2 75;Passau;145556;45365;530;44835;0;5526;29740;2463;247;1403;861;384;224;178;157;2144;62;99;548;25;37;279;232;64;54;23;62;23
09 2 76;Regen;63851;16864;163;16701;0;2012;10842;771;89;497;557;119;97;114;52;885;22;23;318;5;10;93;80;30;20;15;39;11
09 2 77;Rottal-Inn;91254;29141;286;28855;0;2809;20074;1676;163;821;524;208;123;234;77;1096;17;78;464;51;19;156;132;36;35;13;38;11
09 2 78;Straubing-Bogen;73854;28544;290;28254;0;2324;19529;949;115;851;609;207;111;300;99;2290;21;35;437;7;23;124;97;36;31;15;35;9
09 2 79;Dingolfing-Landau;69560;24392;306;24086;0;2636;16195;1125;126;640;790;180;96;170;84;1225;31;33;354;13;16;129;96;43;43;11;41;9
09 3 61;Amberg, Stadt;33803;11466;140;11326;0;1976;6405;1003;111;415;230;96;83;63;43;510;39;21;89;6;16;52;61;48;12;6;39;2
09 3 62;Regensburg, Stadt;96510;35188;276;34912;0;5466;17153;5992;522;1441;437;291;240;169;109;2078;55;47;339;21;28;163;120;63;44;39;85;10
09 3 63;Weiden i.d. OPf., Stadt;33492;10947;182;10765;0;2143;6050;874;109;399;195;86;58;64;35;295;14;20;76;7;9;76;55;136;17;16;20;11
09 3 71;Amberg-Sulzbach;82529;31497;374;31123;0;5535;18658;1927;191;920;631;253;127;174;108;1331;106;64;371;18;32;197;190;142;50;23;56;19
09 3 72;Cham;101500;30785;413;30372;0;3133;21269;1459;125;730;668;240;137;187;104;834;76;83;507;13;30;155;156;35;39;22;357;13
09 3 73;Neumarkt i.d. OPf.;95956;40067;399;39668;0;4150;27822;2687;226;1093;581;301;152;212;112;1133;68;74;413;18;47;230;133;59;44;25;73;15
09 3 74;Neustadt a.d. Waldnaab;77126;29048;432;28616;0;5180;17503;1260;133;800;608;213;98;229;115;727;42;68;313;6;21;178;121;865;44;13;56;23
09 3 75;Regensburg;137989;52910;538;52372;0;7290;31422;4255;437;1709;1060;435;198;230;165;3285;76;76;721;33;60;356;209;92;57;25;147;34
09 3 76;Schwandorf;113446;38000;538;37462;0;6953;23434;1909;275;863;822;291;166;197;155;1042;51;94;467;12;43;241;199;63;45;32;91;17
09 3 77;Tirschenreuth;62244;23896;307;23589;0;3675;15807;1044;115;610;387;200;116;140;97;380;23;72;225;11;33;142;108;311;26;16;35;16
09 4 61;Bamberg, Stadt;52994;20211;188;20023;0;2762;10449;3607;218;1035;502;175;124;71;88;382;45;25;164;12;19;121;87;42;28;24;29;14
09 4 62;Bayreuth, Stadt;57836;21667;184;21483;0;4365;10708;3069;286;1284;380;192;127;100;87;212;113;44;90;12;22;102;87;56;32;22;82;11
09 4 63;Coburg, Stadt;32836;12288;103;12185;0;2778;5811;1562;182;742;177;102;75;120;40;253;35;15;56;4;9;82;52;22;11;12;37;8
09 4 64;Hof, Stadt;37200;12633;158;12475;0;2571;7096;922;140;483;393;125;73;46;31;122;141;22;68;6;11;72;59;30;13;12;36;3
09 4 71;Bamberg;110652;45116;433;44683;0;5052;29408;3330;261;1427;1618;374;185;333;170;637;160;94;640;22;37;351;241;127;86;34;75;21
09 4 72;Bayreuth;85897;34394;387;34007;0;6205;20822;2381;256;1027;1086;276;164;196;117;355;128;55;263;14;26;230;172;94;51;20;48;21
09 4 73;Coburg;71566;27927;382;27545;0;6803;14817;2076;285;1151;412;224;106;447;99;310;77;24;176;9;16;230;122;42;40;13;42;24
09 4 74;Forchheim;86136;36900;304;36596;0;5196;22164;3835;275;1388;1306;315;176;275;129;457;187;69;244;13;24;233;120;67;35;21;52;15
09 4 75;Hof;84979;32562;342;32220;0;7106;19210;1799;267;893;716;302;159;131;96;296;385;63;202;13;30;203;143;48;36;20;81;21
09 4 76;Kronach;59899;32839;1462;31377;0;8464;18420;1217;212;728;532;239;87;409;116;170;125;41;142;7;21;170;121;40;27;17;47;25
09 4 77;Kulmbach;62562;25003;333;24670;0;5671;13579;1875;193;939;648;222;94;368;75;249;102;46;130;11;23;166;114;51;27;25;48;14
09 4 78;Lichtenfels;55311;21726;283;21443;0;3534;13831;1195;127;602;364;147;98;495;90;256;106;49;149;10;22;129;99;33;37;13;42;15
09 4 79;Wunsiedel i. Fichtelgebirge;66236;23562;392;23170;0;5712;13219;1323;178;601;427;261;133;240;70;185;117;38;182;12;27;152;127;41;29;16;59;21
09 5 61;Ansbach, Stadt;30836;11208;110;11098;0;2142;5221;1664;117;418;333;111;81;51;45;510;94;18;50;8;12;84;54;30;14;19;17;5
09 5 62;Erlangen, Stadt;73606;37815;404;37411;0;7879;16162;7633;536;2094;350;336;245;173;167;903;105;35;139;30;13;212;121;91;45;43;64;35
09 5 63;Fürth, Stadt;79988;29153;335;28818;0;6896;12886;4284;511;1091;639;332;247;505;127;371;125;24;141;14;52;226;145;68;31;34;43;26
09 5 64;Nürnberg, Stadt;337154;138384;1591;136793;0;30828;62750;21893;2732;5068;2711;1446;1311;1632;542;1668;573;155;637;78;156;799;723;290;257;179;267;98
09 5 65;Schwabach, Stadt;28694;11376;130;11246;0;2347;5563;1585;125;458;218;125;90;77;44;231;99;17;59;4;19;66;45;20;18;7;23;6
09 5 71;Ansbach;138510;52414;566;51848;0;7745;30399;5384;389;1766;1656;394;220;308;218;1228;656;106;338;38;44;389;215;103;74;36;114;28
09 5 72;Erlangen-Höchstadt;98184;43536;350;43186;0;8055;23147;6139;403;2078;554;362;276;308;150;581;174;52;197;23;42;279;137;97;47;19;51;15
09 5 73;Fürth;87254;38514;433;38081;0;8241;19167;4806;393;1562;938;414;287;347;160;485;237;78;217;18;38;274;169;82;72;18;62;16
09 5 74;Nürnberger Land;127650;55596;495;55101;0;11847;28031;7342;517;2180;1208;529;313;397;205;663;418;83;385;22;100;337;185;100;73;80;66;20
09 5 75;Neustadt a.d. Aisch-Bad Windsheim;76525;30365;317;30048;0;5114;17453;2926;207;1051;589;245;115;342;100;860;213;45;177;11;35;282;88;59;48;19;55;14
09 5 76;Roth;94887;39501;434;39067;0;6949;22770;4220;325;1401;681;395;252;240;137;481;202;50;242;22;66;258;140;87;50;22;52;25
09 5 77;Weißenburg-Gunzenhausen;72468;30307;329;29978;0;4690;18571;2522;243;850;693;209;115;149;102;925;228;52;176;17;29;166;89;48;40;23;28;13
09 6 61;Aschaffenburg, Stadt;49786;16558;262;16296;0;2663;8619;2285;281;993;392;127;146;75;84;200;23;40;58;10;12;103;73;41;20;19;27;5
09 6 62;Schweinfurt, Stadt;40029;14054;183;13871;0;3282;7101;1177;167;556;591;105;130;97;49;214;48;35;54;3;10;76;78;25;13;10;34;16
09 6 63;Würzburg, Stadt;98542;40581;394;40187;0;6433;17447;8517;579;2425;1833;353;310;89;165;1107;136;60;125;20;35;211;115;76;55;30;41;25
09 6 71;Aschaffenburg;131888;53477;1032;52445;0;8020;30902;5401;478;2551;1574;541;322;191;227;593;44;172;251;28;48;465;262;134;82;45;85;29
09 6 72;Bad Kissingen;85824;36183;497;35686;0;4351;23106;2657;224;1348;1305;302;193;157;146;664;142;110;203;28;40;248;246;65;37;22;66;26
09 6 73;Rhön-Grabfeld;65689;28068;439;27629;0;2984;18895;1861;184;990;921;189;129;152;131;285;71;89;156;9;32;195;161;36;48;22;69;20
09 6 74;Haßberge;68427;27680;390;27290;0;4272;16370;1901;192;1156;824;219;115;551;100;690;79;58;212;6;36;214;122;45;34;16;60;18
09 6 75;Kitzingen;67530;26924;276;26648;0;4063;15555;2254;180;1152;1087;216;142;312;162;677;128;73;184;10;21;187;90;62;30;22;31;10
09 6 76;Miltenberg;95789;36694;603;36091;0;5804;21873;3149;286;1674;888;327;160;161;155;480;65;88;173;15;31;300;176;86;53;22;91;34
09 6 77;Main-Spessart;101663;40878;600;40278;0;6342;23887;3665;283;1597;1455;450;202;129;154;798;218;56;218;25;53;285;195;75;63;22;74;32
09 6 78;Schweinfurt;90231;38507;563;37944;0;5627;23571;2864;293;1284;1479;293;245;243;188;567;119;146;210;20;36;298;206;85;59;12;75;24
09 6 79;Würzburg;122550;53518;678;52840;0;8884;27945;6529;447;2484;2695;563;336;191;227;1106;177;93;251;29;41;391;156;116;45;40;66;28
09 7 61;Augsburg, Stadt;178486;68160;804;67356;0;11136;35348;10257;768;2728;1693;753;532;297;265;1203;214;152;526;66;80;364;436;150;124;66;156;42
09 7 62;Kaufbeuren, Stadt;32006;18649;364;18285;0;2399;10961;1545;135;905;523;236;114;105;98;195;38;42;326;16;20;143;145;239;31;12;37;20
09 7 63;Kempten (Allgäu), Stadt;46375;17188;195;16993;0;2476;9519;1802;160;907;698;213;146;48;68;359;59;76;139;11;21;101;79;26;28;12;39;6
09 7 64;Memmingen, Stadt;29709;17012;470;16542;0;2869;9150;1511;111;640;318;196;162;208;80;551;146;45;164;11;16;128;109;44;41;15;18;9
09 7 71;Aichach-Friedberg;94144;38971;315;38656;0;4159;24680;4012;227;1468;1177;323;196;130;119;920;106;97;395;25;37;254;138;73;40;25;42;13
09 7 72;Augsburg;178266;72941;728;72213;0;9083;45021;7565;434;3051;1710;668;458;273;293;1305;172;141;666;42;79;486;319;153;96;39;131;28
09 7 73;Dillingen a.d. Donau;71398;28038;235;27803;0;3213;17984;1961;130;1162;1207;227;129;201;110;455;63;63;269;19;25;194;202;62;44;13;54;16
09 7 74;Günzburg;88979;32305;327;31978;0;3580;21063;2245;228;1200;940;291;201;194;145;624;117;107;306;20;22;220;224;86;64;18;69;14
09 7 75;Neu-Ulm;117848;41178;537;40641;0;6291;22800;4608;359;2082;879;383;363;457;195;552;149;151;365;48;32;323;289;101;83;33;79;19
09 7 76;Lindau (Bodensee);56579;22270;250;22020;0;2655;12753;3003;155;1082;259;251;189;78;97;753;48;90;178;11;21;152;82;57;42;21;32;11
09 7 77;Ostallgäu;100087;40135;314;39821;0;3775;26055;3714;216;1654;624;319;212;149;143;827;92;137;1058;21;38;244;186;171;78;28;64;16
09 7 78;Unterallgäu;102108;40263;454;39809;0;3560;26975;2781;209;1483;664;375;196;280;141;1233;245;177;618;41;35;270;200;147;56;21;83;19
09 7 79;Donau-Ries;98233;38956;401;38555;0;4849;25836;2797;201;1158;897;311;157;198;189;812;91;79;316;21;31;209;183;54;52;28;57;29
09 7 80;Oberallgäu;112322;47061;457;46604;0;4597;30427;4557;234;2162;842;435;308;125;175;906;122;187;639;27;28;322;189;117;104;21;61;19
909;Bayern;9173212;3638796;40295;3598501;0;549206;2063900;421019;32290;151077;81448;33652;21919;20150;13157;87859;11073;7220;35152;2294;3222;22037;15536;9231;5858;2767;6561;1873

