# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
914;Sachsen;3562400;1643204;80971;1562233;570622;186457;0;94959;367196;80967;52846;25940;21593;50959;13743;2621;11055;5082;0;3378;1659;35132;12297;7391;6461;3263;5142;3470

15 1 01;Dessau, Stadt;66376;26918;1547;25371;7727;5154;0;1473;6496;1453;330;436;388;268;205;35;32;41;0;42;23;537;268;86;100;65;115;97
15 1 51;Anhalt-Zerbst;62211;27553;1959;25594;9032;4462;0;1036;5537;1686;485;497;331;289;328;46;55;72;0;82;39;619;235;109;116;87;374;77
15 1 53;Bernburg;56596;23070;1507;21563;7436;3814;0;671;5160;1700;425;430;243;229;199;47;60;46;0;46;28;464;175;89;88;59;97;57
15 1 54;Bitterfeld;85392;36307;2365;33942;12507;6373;0;1010;7228;1882;673;791;471;440;433;58;65;96;0;76;42;802;293;121;168;112;187;114
15 1 59;Köthen;55899;26003;1915;24088;8399;4349;0;727;5663;1312;1054;503;270;314;260;51;63;60;0;55;34;452;148;72;87;61;97;57
15 1 71;Wittenberg;104576;48787;3412;45375;16667;7676;0;1659;10362;2466;955;985;557;707;504;89;155;148;0;129;78;1022;350;158;226;129;206;147
15 2 02;Halle (Saale), Stadt;196609;75996;3599;72397;18249;13606;0;7305;19565;4424;666;1218;1788;1033;610;163;170;134;0;165;66;1275;449;329;345;401;245;191
15 2 56;Burgenlandkreis;115175;51695;3494;48201;17389;7746;0;1631;10856;2837;914;951;623;2058;523;107;203;133;0;109;58;897;362;125;220;170;149;140
15 2 60;Mansfelder Land;87411;37525;2970;34555;12217;6255;0;841;8477;1742;636;766;547;542;372;87;84;112;0;86;50;773;264;154;151;117;176;106
15 2 61;Merseburg-Querfurt;108840;46293;2881;43412;15417;7851;0;1387;10311;2876;664;759;656;764;457;85;76;90;0;93;47;869;304;212;130;144;114;106
15 2 65;Saalkreis;67231;33395;2613;30782;11121;4899;0;1271;6758;2265;564;652;472;476;350;66;65;75;0;85;44;790;252;153;141;103;96;84
15 2 66;Sangerhausen;54763;24711;1573;23138;8290;3850;0;696;5288;1697;497;405;265;576;234;36;52;69;0;57;46;476;164;75;107;66;121;71
15 2 68;Weißenfels;63443;27498;1914;25584;9202;4626;0;718;6122;1169;565;494;347;457;286;50;75;87;0;68;34;605;217;102;99;74;104;83
15 3 03;Magdeburg, Landeshauptstadt;189195;66302;3535;62767;15872;13881;0;4609;18310;3095;728;1230;1034;640;522;123;110;102;0;135;49;1044;295;210;185;221;243;129
15 3 52;Aschersleben-Staßfurt;81855;28885;2018;26867;9393;4855;0;838;6647;1326;400;528;376;546;246;48;61;73;0;54;41;591;177;97;94;97;313;66
15 3 55;Bördekreis;64359;27405;2083;25322;9216;5488;0;814;5381;1277;325;457;287;323;274;66;49;87;0;51;40;575;176;78;112;72;111;63
15 3 57;Halberstadt;64549;24723;1510;23213;9710;3712;0;955;5201;809;296;385;229;386;215;168;60;74;0;55;26;435;128;85;76;59;76;73
